formula,space_group,formation_energy_per_atom
Fe5As3,Cmmm,0.04062930606940718
AsBr3,P4/mmm,0.1837854807495578
AgAl2,I4/mmm,0.04627824639320662
AuIr,F-43m,1.8220014981525097
FeIr2,I4/mmm,0.01924155332424604
AlP,P4/mmm,0.06799045611483923
P4As,Im-3m,0.812091334973811
SrW,Pm-3m,1.9972426006473425
Nb4I16,Cmc2_1,-0.5914529900423056
Fe4V12,Pnma,0.03476105328862289
Al2Th4,I4/mcm,-0.24724609559801536
CrNb,Pm-3m,0.0400403641248559
Pd3Sb,Pmm2,-0.32898718443302144
KAs2,I4/mmm,-0.24753929532447452
Ta2V2,Cmcm,0.31316224982159113
Ni2P2,P4/nmm,-0.16517426950093306
SrW,Pm-3m,1.9908134049990984
Al6Rh6,I4/mmm,-0.7913171802790396
As4Br16,I-43m,-0.04680042129494701
Al4Pb8,Pnma,0.190216711141165
Al2Pt2,Imma,-0.9206056344885516
CaBr3,Immm,-1.3581370482902582
Al3Sb,Cmmm,0.17327111255757233
PtTh,R-3m,-0.9985407139856557
CrTa,F-43m,2.4750764616864167
AuPa,Fm-3m,-0.28563736127332806
Mo5P24,I-43m,0.4231915241768708
Mo4P8,Pa-3,0.20622020229584828
AlP4,I4/m,0.03693385080144438
NaP,P-6m2,0.12409337478964044
Al2In4,Cmcm,0.15876865362387527
PdRh2,I4/mmm,0.0668231722260811
CrSb,F-43m,0.450704512349529
CsI,P-6m2,-1.618852980774196
AgAl5,P4/mmm,-0.004326323593305166
Ce4Fe34,P6_3/mmc,0.018078707394174012
Al3Ca,Fm-3m,-0.021197132128086604
CrTh,P-6m2,0.7174677879494853
AgAl2,Immm,0.007657992291572195
Ni2Sn,I4/mmm,-0.12944405061364014
Al3Pd,P4/mmm,-0.4002240771260617
AsBr4,Im-3m,0.08318038903417815
Ag3Ta,Fm-3m,0.44921870799286445
MoP3,Pm-3m,0.5506181760599551
MoSn,P-6m2,0.2023255626539493
Cr8Nb,I4/mmm,0.2756917005872579
Nb2P4,I4/mcm,-0.6739997459086903
NpPd,R-3m,0.07039511648838825
Ba2Ta4,Cmcm,0.787986574164344
Fe3Ga,I4/mmm,-0.10882796605922263
Fe2Ir,I4/mmm,0.09694179101800178
AlRh3,Pmmm,-0.41326712294539814
AgTa3,Pm-3m,3.1850281160013356
W6As10,I4cm,0.3115210182407653
Na4Pt8,Pnma,-0.09072008557749218
GaMn2,I4/mmm,-0.05451067119076688
EuGa3,Fm-3m,-0.4397634530988226
Pt3V,I4/mmm,-0.46052996010877756
Fe2Ga2,P4/nmm,-0.054520499219477436
Cr3Na,Cmmm,0.5610182583884997
AgAs,Fm-3m,0.03559416443677854
Pt2Sn2,I4_1/amd,-0.22747489061732473
Cu4Ge2,Pnnm,0.1101341585813073
In3Ni,Fm-3m,0.24024473995009776
AuV,Fm-3m,0.5982158839355014
In3Sr,Pm-3m,-0.33047938179248826
Ag6Al2,P4/nmm,-0.003305947508660978
AgNi2,Immm,0.22733919327823196
Fe2Mo,Fm-3m,0.8089052993960735
Mo7P,Fm-3m,0.2919101955614458
AsBr3,P4/mmm,0.507192221287605
In4Br2,C2/m,-0.35549437252374094
Ag3Ge,Imm2,0.08766826249984705
Ge2P6,Cmcm,0.3548940576013857
TaGe2,I4/mmm,-0.18851192289502214
NbW3,Immm,-0.06768905866030472
BaV2,I4/mmm,0.8428249004638602
Fe2W4,Cmcm,0.17363694299634838
Al2K2,Cmcm,0.2122518133412239
Pb5As,Cmmm,0.07427871942893087
Cu7Pt5,P1,-0.11933497888105175
P16As8,Fd-3m,0.26409157839095876
Ta4V6,Fdd2,0.19939840943698783
Pd3Sb,Immm,-0.37608229090459044
Fe4Pd8,Pa-3,0.8340075111538189
CeTa,P-6m2,0.7696654382297821
K2Ge2,Cmcm,-0.14167246486321794
CrNb,Pm-3m,0.03741603022425721
PtSb3,P4/mmm,0.0037757119550514417
Ir18Ta6,Pmmn,-0.5508677004764083
Fe2Pd26,Fm-3c,0.4845342715894613
Mo2Sr2,P4/nmm,0.547790505542185
CuNb,P4/mmm,0.2235941904050769
TaBi,F-43m,1.5440836077559705
AgGe5,Cmmm,0.27579234739189334
BaV3,P4/mmm,0.6593841522437529
GaPt4,Im-3m,0.1320540703884518
AgMn3,P4/mmm,0.5190592754356258
Al14Th4,Pbam,-0.3544823034813247
Mo2Sr4,I4/mcm,0.7615178657666704
Mo2W6,I4/mmm,0.3719728802045488
SrV,P-6m2,1.1938333385077637
Ca2Pb6,Cmcm,0.10967528957516404
Ga2W,I4/mmm,0.24198514683093464
FeBr3,Fm-3m,0.3130408727754359
CrNb,Pm-3m,0.0704811032511401
Ni3Ta,Fm-3m,-0.18712867243742615
Cr6Pb18,Pmmn,0.8597710145046591
AgSn2,I4/mmm,-0.0005459262697555071
Pt2Sb,I4/mmm,-0.18355360459612058
Fe3Ir4,I4/mmm,0.3829532302239989
CrSr3,P4/mmm,0.4019539081751229
Cr2Nb4,Fd-3m,0.7428867004486825
NiBi3,Fm-3m,0.3715862485464503
BaV2,I4/mmm,0.885057308656922
Ag2Ta4,Fd-3m,0.5628349412683527
Ag5Al7,P-1,-0.010681630096926279
Cr6Ge2,Pm-3n,-0.22244771295664023
SnW2,I4/mmm,0.4336866222469631
Al4P2,I4/mcm,0.1063656280243972
V4W3,I4/mmm,-0.06949998465881281
CaCr3,Pmm2,0.7852050754029234
GaAs2,I4/mmm,0.19427173673055384
Mo3Ta,P4/mmm,-0.12852338320429446
Mo2P,Fm-3m,0.011142818868850194
Mo10W6,I4/mcm,0.34462336669931304
Cr2As4,I4_1/amd,0.10675757801744486
Ca3Ir,Fm-3m,-0.046826592853308036
Ba2Ga2,Pmma,-0.19563736538554943
Ir2V4,I4/mcm,-0.17347836219083135
Ba3Sn,Immm,-0.32211970181405203
RhV,F-43m,0.682774889396148
Fe2Ir2,P4/nmm,0.095469058522756
W5P,F-43m,0.7596371541010379
Cu4Pt7,P1,-0.10329586136379473
P4Br16,I-43m,0.04758596207675296
Cr26Nb2,Fm-3c,0.37610240212917134
CuMo,P-6m2,0.34300430186188
Na2Pt4,I4/mcm,0.3152627011305847
PbAs3,Immm,0.2528127421578459
Al2K2,P4/nmm,0.24286045317269034
K2As2,P4/nmm,-0.16089511170049198
Au3Ga,P4/mmm,-0.04071515907163947
Al18Pt6,Pmmn,-0.5079458393087251
Mo8Nb16,Fd-3m,0.217704353426722
P16Br4,I23,0.5858727126604272
Cr4Sr5,I4/mmm,0.8423494786280783
Al2Pt4,Pnnm,-0.6594769920454873
PbGe3,Fm-3m,0.10011237305190512
InTa3,Pmm2,0.2223334662506904
W5Sb,F-43m,0.6439930759214031
MoI,F-43m,1.3140727451876053
As17Br12,I-43m,0.0012304841898449876
Al2Cu6,Cmcm,-0.1611115337218152
NaPb,P-6m2,-0.11233380491409051
As4Br2,I4/mcm,0.4452598407995474
NiTa,P-6m2,0.035978244644208957
Ir2V,I4/mmm,-0.1910433153192225
FeIr2,I4/mmm,0.016372947711981094
Fe2Ir2,P4/nmm,0.09668102134212475
AuCr3,P4/mmm,0.2856037948833716
Mn4W16,I-43m,0.9153041860879512
Al8Ta4,I4_1/amd,-0.22563343245559628
Al3I,I4/mmm,0.40009645458870846
CrTa3,Immm,0.031040046261047394
AuP3,Imm2,0.4511237559475161
Ba5V,P4/mmm,0.5349305232872368
K2As,I4/mmm,-0.18429602298640368
AuNp,F-43m,1.4256368145629512
PdRh2,P4/mmm,0.8060997154070506
Sb5Ge,Amm2,0.17639700507179926
MoSr2,I4/mmm,0.9515306066991656
RhBi,P-6m2,0.06842665917166713
Al2K4,Cmcm,0.15512010833699108
Ba2Sn4,Cmcm,-0.4831717141879193
Ba3In,P4/mmm,-0.2065075990659131
Fe3Pd,Pm-3m,0.06780741796911727
Ag2Sn,I4/mmm,-0.004940445226540764
FePd,Pm-3m,0.04868803925375165
Au5Sr24,I-43m,0.013468605151118385
Au16Sr4,I-43m,-0.4516277814634968
Ca2Cu2,P4/nmm,0.00826952038749651
Al2Cu2,Pmma,-0.18819617139489342
Mo2Ta,I4/mmm,-0.1665484888315755
In5Ta3,Cmmm,0.27498492972283106
PbAs3,Cmmm,0.3753619279989451
Cu3K,Pm-3m,0.7647491590705378
NaPt,P4/mmm,-0.14721936695350513
V4W2,I4_1/amd,0.45597030316409715
Cr4As,I4/m,0.014406594060710631
Ag8Mn,I4/mmm,0.11661445299936485
Pd4Rh,I4/m,0.049354537673024626
Al3In,Pmm2,0.17535983933333643
SmI3,Pm-3m,-0.8819491333694671
Ga3W,P4/mmm,0.2579364782583191
Au3Nb,Pmmm,-0.03703552279782141
AgSn2,P4/mmm,0.10289065222187214
Ag12Br4,Pnma,0.05156993716144065
Ca5Sn7,I4mm,-0.3709440976254115
Nb2V,I4/mmm,0.050871054278504836
Nb2W,Immm,0.40454360018451513
IrV5,P4/mmm,-0.2488146422955945
BaSn5,Cmmm,-0.2592371020090927
Nb3V,I4/mmm,0.3420509693834646
PAs,Pm-3m,0.5561249497858629
Fe3Pb,Fm-3m,0.8221365150147326
Mn4W16,I-43m,0.9114480338063672
Ag4Ge12,Pnma,0.2482454616969152
Ni6P2,I4/mmm,-0.3125298444586937
Sb3Ge,Cmmm,0.2674849223565756
Ag5Sn3,Cmmm,0.005546544978866752
Ag3Br,Immm,0.13392568058826715
MnW5,F-43m,0.637096752327229
Mn2W2,Fd-3m,0.15168781393728104
PAs,Pm-3m,0.5562503646495864
Pb4As4,Pnma,0.09620678279385153
Cu2Ge,I4/mmm,0.12788377456653718
Pb2As6,Pmmn,0.06470452018006512
Na4Pt2,I4/mcm,-0.18135410438594116
SbGe3,Cmmm,0.31118283164281113
Au2Nb4,Cmcm,0.06658938217211603
Ni3Sb,Fm-3m,-0.22300254137261621
In2Ta2,Pmma,0.24685651245778573
Fe3Pb,Pm-3m,0.8418246784643095
Ni2Ge,P-3m1,-0.22549368479794887
Fe2Pd2,R-3m,0.44399533968144195
Ir3Ge,R-3m,0.04312013884530774
Cu2Rh,P-3m1,0.10940288440083575
PtRh3,R-3m,0.2838124089931
BaP2,P-3m1,-0.6967814426608149
Au6Ba7,R-3m,-0.0799389917176945
Ba2Sn,P-3m1,-0.4460429707250763
Rh2Sn2,R-3m,-0.02270379062490413
Ir3Ge12,P3_121,-0.18595586586431523
CaV2,P-3m1,0.929319933190642
Nb2Ni3,P-3m1,0.2525408880268557
K2P,P-3m1,-0.08236496206852777
Au2Mn3,R-3m,0.3326305906375623
Ag2Cu,P-3m1,0.21906181560610172
Ba2Sn,P-3m1,-0.42724832921655614
Pb2Ta,P-3m1,0.7465930152790689
AuGa2,P-3m1,-0.022426378806809904
Mn2Pt,P-3m1,0.06775057367079995
Mn2Ni2,P-3m1,0.033281518929396015
Cu3Nb,R-3m,0.2709486622754138
Cu3K,R-3m,0.8349429822274561
FeMn2,P-3m1,0.10465106251503424
BaCa2,P-3m1,0.05531143350880896
W3As2,P-3m1,0.7191544246013593
Fe2As2,R-3m,0.14951958202922633
CaPb3,R-3m,-0.19086951915037087
Pd2Sb,P-3m1,-0.3524888628108063
Cu3Nb2,R-3m,0.42636823933191365
Cr2Rh2,R-3m,0.2726210929766755
NbTa2,P-3m1,-0.006049075752287081
Mn2P,P-3m1,-0.24612519643494105
GaNb2,P-3m1,0.01611697841364664
In2V2,R-3m,0.4187134087890092
Ta2W2,P-3m1,0.421040036775409
In2P,P-3m1,0.23232354112432554
PdPt2,P-3m1,0.07954181919851777
Ag3Ge2,R-3m,0.11627431883061093
Ba2Ca3,P-3m1,0.2985509826635937
KNb2,P-3m1,1.468010283850295
CaGe,R-3m,-0.3556586271088267
NiP3,R-3m,0.41840840292567716
Cu2Sn2,R-3m,0.1722426341690264
Ag3K2,R-3m,0.09627137562399746
Cu2In2,R-3m,0.3656928187855262
CaMo2,P-3m1,0.6873887522707243
Mo3P,R-3m,0.09521713558432765
Cr2K3,R-3m,1.0962361616111445
Ag2K2,P-3m1,0.17218423957636375
WAs2,P-3m1,0.05978204178326033
Cu3In,R-3m,0.23493313719914433
AgPb2,P-3m1,0.10466737529226577
Pb2Rh3,R-3m,0.2944741140229453
AgPb2,P-3m1,0.08507746123654829
Fe2Br3,R-3m,0.16780384956413527
Fe3Pd2,P-3m1,0.9442605469180023
Ir2Ge2,P-3m1,0.10502764779391605
Al2Na2,R-3m,0.08154968711483306
Au3Mn2,R-3m,0.14618452033422003
K2Nb,P-3m1,1.230150636484763
CuIn3,R-3m,0.22403485006241164
Au3Ba,R-3m,-0.23270997735038712
Pb2Rh3,R-3m,0.29509779307452744
Cr3Cu2,R-3m,0.6250630744336547
Nb2Ge2,P-3m1,0.198651088661137
Pd2Sb2,P-3m1,-0.14856654707421235
Ag6K7,R-3m,0.28382169530037926
K2V3,P-3m1,2.0290228061209903
V2P,P-3m1,-0.27749019175857487
PtRh3,R-3m,0.2809301398062125
Ba3Pd,R-3m,0.13943243493764967
Pb2W2,R-3m,0.5820846727357969
Cr24P5,I-43m,0.14647528932352744
Cr4P8,Pa-3,0.1722750167158722
Ag4Al4,Pmm2,-0.012573373880222505
Ca4P6,Fdd2,-0.7364136415173135
Fe16Na4,I-43m,0.8854584092029818
In5Sn,Cm,0.0071618832732151345
Nb4Pb4,Pnma,0.5735621749519426
Pb2Sb2,Imma,0.060088763406532575
CaMo3,Pmmm,0.7670388591526027
GeP3,Immm,0.39129808323273974
Ba4Pd2,Cmcm,-0.3112198981691587
Pt2As,I4/mmm,-0.04044415254897871
BaBr2,I4/mmm,-2.124731627500796
BiP,P-6m2,0.2191229412468898
Nb2Pb4,Pnnm,0.527916409969278
BaPd5,Amm2,-0.07421844079920288
FeAs3,Imm2,0.08974813982961294
V4Br2,I4_1/amd,0.602972819729254
Ca4In,I4/m,-0.08160272395278127
In2Sn2,C2/m,0.0072557806581281525
BiGe,P4/mmm,0.31979121324014415
FeIn,P-6m2,0.33168049125825405
Cu2Ga2,Cmcm,-0.038463213833946686
USb,P-6m2,-0.28719269109808554
Sb5Ge,Cmmm,0.31601091719907143
RbRh,P-6m2,1.0520374114343962
Al10Ga6,Cmcm,0.09568576275377305
Au12Nb12,Pbcm,0.024690752730336385
Al4Ce,I4/mmm,-0.32890754216925655
Cr12Ta12,Pbcm,0.2317028235556613
Sb3Ge,Immm,0.22810143489425316
Fe2Mo,Fm-3m,0.8205961221980852
Pb2As4,Pnnm,0.1364370872739471
Al2In6,Cmcm,0.12392977192247834
Ga24Pt5,I-43m,-0.022192353332031713
V3Br,P4/mmm,0.2451158130539417
GaU,R-3m,-0.2505695382326465
BaBr3,P4/mmm,-1.4934390696260131
Al3In,Cmmm,0.16186258529108688
GaAs2,I4/mmm,0.19324503264821993
In2Br4,Cmcm,-0.4657886603656829
PaSr,R-3m,0.428211552056168
In2Na,I4/mmm,-0.09233352858389014
Pb5As,Cmmm,0.07300553596130044
KMn,P-6m2,1.1547986895156361
Cr3Sr,P4/mmm,0.7469061432395261
Ag2Ca,I4/mmm,-0.2523950355557402
Ga2K,Immm,0.0030149987925730906
IrV3,I4/mmm,-0.21775009327410189
CsW,P-6m2,2.3783873322065965
Nb4W8,Pnma,0.12432970504338907
Cr6Ta2,Pmmn,0.32736524561954994
NiP4,I4/mmm,0.2320048088897643
MnW,Pm-3m,0.14764857375606333
AgMn8,I4/mmm,0.3058372083905188
GaW4,I4/mmm,0.9570710969518359
InNa3,P4/mmm,-0.04682424766886184
SmW,F-43m,2.654567875129585
AlIn3,Pmm2,0.1314761879387154
AuNb3,Imm2,0.04006079573177601
CrTa,Cmmm,0.1363227916180687
AlMo3,Fm-3m,-0.00738528834374641
Cr2Na2,Cmme,0.6053910532536468
Ag2Sn,I4/mmm,-0.008818650242543432
IrV3,P4/mmm,-0.3727588195176974
BaIr3,Fm-3m,1.048165124383834
PAs,Pm-3m,0.5533038979136409
Cr2Na2,Pmmn,0.9853560370272048
W3As,P4/mmm,0.42551882027616017
Cr5Sr4,I4/mmm,0.8622231105534092
Ga16Pt4,I-43m,-0.07808718496001035
Ni4Rh2,Pmmm,0.038815081091203275
K3Na,P4/mmm,0.007793592956396145
Ba4Ni6,R-3c,0.48054335213717964
Ga3Pt5,Cmmm,-0.561520434446523
Cu2Ge4,I4_1/amd,0.19345716349871486
AuCr2,I4/mmm,0.31901571352256514
Ga3W,P4/mmm,0.22910235049002026
KI,R-3m,-1.5852064245143793
K3Na,I4/mmm,0.014178735139890097
Fe2Ga4,I4_1/amd,0.18818417211783137
Ge2Br,I4/mmm,-0.003493188068231845
RhV,F-43m,0.6960338821994467
InSb,P4/mmm,0.041197455128624494
Ag2Al,I4/mmm,-0.062054880539200497
Cu2Ge2,P4/nmm,0.14517431527939895
Cu2Ge,I4/mmm,0.06947767766629968
CrRh4,I4/mmm,0.4467363132556045
NpU,P4/mmm,0.007713432901905293
RhU,P-6m2,-0.19404889045397233
Cr3W,P4/mmm,0.06561472051618722
Cr2Rh2,P4/nmm,0.01945753531096095
KPt,P4/mmm,0.38189627566726436
Ge2Br2,P4/nmm,-0.3539225105654191
CrRh2,P4/mmm,0.47018624623034455
Cr8Rh,I4/mmm,0.4020511085975929
FePt,P4/mmm,0.10467829281758245
CuGa,P-6m2,-0.055034055860068154
AlPd3,P4/mmm,-0.5908285954344459
Cr5Rh4,I4/mmm,0.04334509570455225
MoV4,I4/mmm,0.5635547788826841
Ni3Sb,P4/mmm,0.03213430732331801
SmGe5,Immm,-0.6336399568411982
Ac4I6,R-3c,-1.1254737931145116
Fe4Ga2,I4/mcm,0.08810691866627589
KPb2,I4/mmm,-0.12242238836863646
Ge2P4,Cmcm,0.24975384449601337
CaFe,Cmmm,0.6670044540710167
FeP,R-3m,-0.29093024130176115
AlNb3,P4/mmm,-0.1644287196143619
CrNb2,Fmmm,0.10226908000265549
BaFe2,I4/mmm,0.877546727959088
Fe2Ga,I4/mmm,-0.12710946616814311
Ir2Mn2,P4/nmm,-0.00920135479580253
Cr3W,P4/mmm,0.070083144452175
K2Sn,I4/mmm,-0.010544429306254877
Au16Sr4,I-43m,-0.4394674910717768
AlCa3,Immm,-0.04628300510080674
Ag6Al4,P-1,-0.05117975022372292
Nb2P2,P4/nmm,-0.05871827436927468
Cu8Pt4,P-1,-0.10169229297240712
Fe5Ir4,I4/mmm,0.021654189741767027
Fe4Pb,I4/mmm,0.5180408792710665
AsBr2,I4/mmm,0.1637912403107397
Fe2Mo4,Fd-3m,0.7116753557152222
VGe3,P4/mmm,0.18470111901337027
Mo2W,I4/mmm,-0.0029383677656393084
K2Na4,Pnnm,0.04284382628033553
Cu7Pt5,P1,-0.12739978400128096
Fe4V2,Cmcm,0.10779501627733978
Pd8Sb4,Cmc2_1,-0.4733627168891452
W4Sb16,I-43m,0.8629071845772032
CuIr,F-43m,2.1677452154660086
Cr2Ta6,Cmcm,0.061192333950984334
Sr16W4,I-43m,1.1537662752830578
SrW3,Pm-3m,1.6994325432565986
NiSn,P-6m2,-0.11792968502310419
Fe4V12,Pnma,0.0315684178168123
V4W2,Pnnm,0.6447502404714527
Ir18Mo6,Pmmn,-0.2434333486468745
CuTh,F-43m,0.8185751649189763
AgNa2,I4/mmm,0.005725546973817626
MoP,Fm-3m,-0.04335678120693487
Pb8Sb4,Pnma,0.02373485671697099
EuU,Fm-3m,1.3282505515044436
Cr3Rh,P4/mmm,0.09619991350359136
Ag2Na4,I4/mcm,-0.062496446934515205
CuGe,P4/mmm,0.1859997211468114
Ca3Ni,Fm-3m,0.20132798669583973
As2Br,I4/mmm,0.03041225521939417
Ni5Ta,F-43m,-0.24163198238832231
AsBr2,P4/mmm,0.07533291650688767
Fe2Pb2,P4/nmm,0.2930038543888518
SrW3,Pm-3m,5.085289399188636
NiSn2,I4/mmm,-0.06072639272195168
Sr2W2,Fd-3m,1.388439071506709
Ir3K,Cmmm,0.9087052585387783
AgTa7,Fm-3m,0.26553497024526607
Pt24Ge16,Pnma,-0.5805424910480653
AuGa,F-43m,0.07726900961153582
AsBr2,I4/mmm,0.1644874317319959
Fe3Na,Pm-3m,0.7214530138825488
Pb4V,Im-3m,0.31526686534698384
Ba3Ta,P4/mmm,0.8554577806908497
Fe3Pb,I4/mmm,0.4081851932579479
Fe4As6,Fdd2,0.0774651105346301
Al2Rh,I4/mmm,-0.7934654617387066
Fe2Pb2,P4/nmm,0.2934461841775402
NaPt4,Im-3m,0.9276235444384433
MoP,Pm-3m,-0.40326457250724346
Al3K,Fm-3m,0.39977071146941734
W2Sb6,Pm-3n,0.7422411538439109
AsBr,P4/mmm,0.2720832940127895
BaTa3,P4/mmm,0.5966542786171853
NaPt,Pm-3m,0.18541544769443163
Cr4Ta6,Fddd,0.22397428929938315
Ga2W6,I4/mmm,0.27728536127391124
Pb2Sb2,Imma,0.061367889008170806
Pt2Sn2,P4/nmm,-0.03980881341367937
AuU,Fm-3m,0.10069767599701684
WSb,Pm-3m,0.6333799695471152
MoI,F-43m,1.310114103845386
MoSr2,I4/mmm,0.9492812964603784
NbP3,P4/mmm,-0.16653629724772223
PdRh4,I4/mmm,0.401449417497561
Al4In2,Cmcm,0.12164674403183955
SnW,F-43m,1.9705389854412072
Pb3V,Pm-3m,0.414796380719622
WSb4,Im-3m,0.6132872102765802
As3Br,Fm-3m,0.49617079446608914
Ag6V10,I4/mcm,0.5632138098158901
Ag7Al5,P1,-0.03749980181278841
Cr3Ta,Immm,0.054785266293079005
IrAs5,F-43m,0.915548865946659
Pb2V,Fm-3m,0.7233741524777114
Ba4Ni6,R-3c,0.4894772677785376
Ir2Ta4,Imma,0.1685092472094496
Al8Pb4,Pnma,0.2485274522084513
Ag4Al3,I4/mmm,-0.052619481313925576
AlPd2,I4/mmm,-0.7924205762264265
Al6Pb18,Pmmn,0.1724440600109176
Cr4Rh8,I4_1/amd,-0.08437393757195248
Au4Mn6,Fdd2,0.18048517358967614
Au8Mn4,Pnma,-0.03722282827629009
Ge4Br2,I4_1/amd,0.13192289390491752
AlMo2,Fmmm,2.2338494594826117
Mn4Sn,I4/m,0.2246010467999781
AgAl4,I4/mmm,0.2037868935858093
Ni5Sb4,I4/mmm,-0.010001378818230933
Al2Pb4,Pnnm,0.2678257974993154
Ir4Mn3,I4/mmm,0.1284928555570275
Cu8Ge,I4/mmm,-0.010062972551391484
FePt3,I4/mmm,-0.17802800418118458
Mn2Sn4,I4/mcm,-0.021793821470753965
Fe2Pb6,Cmcm,0.7930030037002895
BaIr2,Fmmm,2.783862077291165
Mo4Pb8,Pnma,0.7113737394934839
Al4Pb8,Pnma,0.19088783559093514
Au2Mn6,Cmcm,0.32859699331394054
AuIn8,I4/mmm,-0.020469679914874916
CrRh8,I4/mmm,0.44614900795366136
AlPd2,I4/mmm,-0.7903348888563736
InTa3,P4/mmm,0.04847603507988829
Au2As2,P4/nmm,0.2329993076058523
Ce3Sn,Pm-3m,-0.5155391190107332
Ba2Ir4,Fd-3m,-0.006348404294106065
Fe8Pb4,Pa-3,1.0841797110529658
K2P2,Cmcm,-0.4137983534760199
As4Br,I4/mmm,0.04740932068412747
NbI,F-43m,1.049989155341601
GaPt3,Pm-3m,-0.45030104999271625
NbBi3,Pm-3m,0.471062909762173
K2P2,Cmcm,-0.41636868812964467
AuCu3,P4/mmm,-0.0003989963805692831
BaIr3,Pm-3m,0.8991729438340785
Ca3Pb,Pmm2,-0.3742175042414386
Fe44Mo2,Fd-3m,0.20302594817318126
Cr4Nb2,Fd-3m,-0.04724214886960709
NaPd2,Immm,-0.04317359777200854
SnW3,P4/mmm,0.5108634037715429
Fe3As,Cmmm,0.18064192601288553
AuMo,F-43m,2.2015380882334377
Fe6V4,Fdd2,-0.019215889305802137
Mo3W,P4/mmm,-0.004197000088842273
Ba4Cu2,Cmc2_1,0.03911151107171751
Nb10Ge6,I4/mcm,-0.6144382601361036
As3Br,P4/mmm,0.2125235734648201
AgTa3,Pm-3m,3.130992588674295
Pb5Sr24,I-43m,0.04695959917615854
Cu6Pt5,P1,-0.13332881705478303
NbP3,P4/mmm,-0.1655885277068263
Mo2P6,Pm-3n,0.05782740492849925
CuNi,F-43m,1.7193662460175383
GaP4,Im-3m,0.6351338889906983
PbV4,Im-3m,1.736418693171305
Ba5Pd,Amm2,-0.04160803742041145
Mo2W2,P4/nmm,-0.0002653883724654804
PAs5,F-43m,0.7699399335684985
P12As17,I-43m,0.33488756831846545
As4Br2,I4/mcm,0.44079401790146316
Mo3W,P2/m,-0.0004325140166905328
MoPb5,Amm2,0.46397480604162905
Nb2Pb4,Cmcm,0.5336396650961781
K3Sn,Immm,-0.04957436896248235
Ca3Pb,Pmm2,-0.1979178734946765
AsBr,Pm-3m,0.606413846195041
Ag6Al2,Cmmm,-0.04715024455811179
AsBr8,I4/mmm,0.008510013190845692
Ca6P2,Pmmn,-0.6035213080755142
CuBr3,Imm2,-0.18135637095309276
Pd2Sb4,Cmcm,-0.22726829436878582
CrNb,Fm-3m,0.9536186859240008
Ge8I32,Pa-3,-0.48771572991224516
Ag7Al3,Amm2,-0.04005963664061518
MnSb8,I4/mmm,0.19242401532718625
Ag5Al3,Amm2,-0.06298524746140188
Ba4Sb2,I4/mcm,-0.7672871561808551
KGe3,Imm2,0.24622908811164024
Ag5Al3,Amm2,-0.036225279073159644
Pt10Sn6,I4/mcm,-0.25816953533796916
K4Ni2,Cmcm,0.6744503580154383
Cu6Pt4,P-1,-0.11701756528602089
PdTa4,I4/mmm,0.7824558231776578
BaCu5,Amm2,0.16110996109813058
PdW2,Fmmm,0.0761774245930648
PAs3,Pm-3m,0.6237256083686127
K2Ge6,Cmcm,0.18056138842870606
Ce4Ge4,Pnma,-0.9901764428373054
W16Sb4,I23,1.0332184323450888
Ag4Al,Immm,-0.027000361544865115
In2Ge2,Imma,0.14348538744732542
PbSb,P4/mmm,0.0827676745746988
Ir4Ta2,Imma,-0.13047021715369786
Al9Sr5,R-3m,-0.2739927291874911
GaW3,P4/mmm,0.20573570648252115
Ag3Mn,I4/mmm,0.15605795195354766
Pb16Sr4,I-43m,-0.08268971594334928
Pt4Sr2,Cmcm,-0.41339582806789704
Ba4Cu8,Pnma,0.29571040558907197
Pd2Ta2,P4/nmm,-0.29822619761965363
Ba4As,I4/m,-0.46491676212530386
Mo3Pb,Immm,0.507330070879302
K5Ge,Amm2,0.11535388577302808
Al2Cu,Fm-3m,-0.17913184349677458
Na3Pt,I4/mmm,-0.056924062006702414
FePd3,Fm-3m,-0.01604736460527434
Ag4Al,I4/m,-0.048402888827025946
Mn2W6,Pm-3n,0.11056725666692024
Mn2V2,P4/nmm,0.05801023881246792
Nb2V6,I4/mmm,0.15811146902045792
Mo5W,P4/mmm,0.42962852474930696
AgMn4,I4/m,0.4837143497390969
Pt7Sb,Fm-3m,-0.1560119826484634
Ba2Ga2,Pmmn,-0.061812805250280434
SbGe3,Imm2,0.3208394111207813
FePb,Pm-3m,0.8299400887561053
Ag2Ge4,Pnnm,0.29811453800443094
CaNi5,P6/mmm,-0.13093442616315798
Cr2Ta2,P4/nmm,0.06074148724245099
Ba2Sn2,Pmma,-0.6111419105514235
VW3,P4/mmm,-0.0782328929197611
VW2,I4/mmm,-0.09604415375328064
CrAs3,I4/mmm,0.6062406563238731
Ag2Ge6,Cmcm,0.27411746774802426
V10W6,I4/mcm,0.28203678121718134
P17Br12,I-43m,0.09633081276417219
Al3Cu5,Cmmm,-0.20729098567829674
Ba2Ga2,Cmcm,-0.3509398047293142
Pd2Sn2,Pmma,-0.4222715211301207
AuNb3,Immm,-0.015721061441936968
Ag2Mn,I4/mmm,0.22046059987161945
Ba3Ir,Pm-3m,0.042070471290260425
Cr16Nb4,I23,0.5503360172435151
AgBr3,Cmmm,0.03672411330585179
P8Br16,Fd-3m,0.5215730473216924
Ga4W,I4/mmm,0.5111326559478918
